candidate_id,strategy,seed,bundle_size_target,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,total_respondents_used,all_categories_hit_target,min_completes,mean_interview_seconds,p95_interview_seconds,avg_surveys_per_respondent,share_2plus_surveys,share_3plus_surveys,max_exposure_deviation
26,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.8618720029481,1.729559748427673,0.44597933513027854,0.41509433962264153,0.010206462824461065
26,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.9402744019171,1.8294131622713234,0.4752910430030886,0.44214777856973153,0.007647020447906522
26,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.5838998500258,1.8370511749970178,0.47644041512584995,0.44136943814863416,0.006477126436781611
27,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.85406835610047,1.729559748427673,0.44597933513027854,0.4146451033243486,0.010206462824461065
27,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,475.23539587156847,1.8294131622713234,0.4733903540033262,0.44274174388215726,0.007647020447906522
27,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.3139533381909,1.8370511749970178,0.4765597041631874,0.44303948467135873,0.006477126436781611
28,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.87983036320657,1.729559748427673,0.4497978436657682,0.40902964959568733,0.010206462824461065
28,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.97157080227043,1.8294131622713234,0.4770729389403659,0.43537657400807794,0.007647020447906522
28,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.22659208625555,1.8370511749970178,0.4765597041631874,0.4385065012525349,0.006477126436781611
29,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.8618720029481,1.729559748427673,0.44597933513027854,0.41509433962264153,0.010206462824461065
29,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.9402744019171,1.8294131622713234,0.4752910430030886,0.44214777856973153,0.007647020447906522
29,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.5838998500258,1.8370511749970178,0.47644041512584995,0.44136943814863416,0.006477126436781611
30,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.9446856341092,1.729559748427673,0.4520440251572327,0.4181266846361186,0.010206462824461065
30,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.71227157406975,1.8294131622713234,0.4796863863150392,0.44642432881919697,0.007647020447906522
30,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.2343015826773,1.8370511749970178,0.4824048669927234,0.4439937969700585,0.006477126436781611
31,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.79369481792673,1.729559748427673,0.44620395327942497,0.41498203054806826,0.010206462824461065
31,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.92532722710166,1.8294131622713234,0.474815870753148,0.44167260631979094,0.007647020447906522
31,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.3139533381909,1.8370511749970178,0.47620183705117497,0.4417273052606465,0.006477126436781611
32,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.87983036320657,1.729559748427673,0.4497978436657682,0.40902964959568733,0.010206462824461065
32,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.97157080227043,1.8294131622713234,0.4770729389403659,0.43537657400807794,0.007647020447906522
32,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.22659208625555,1.8370511749970178,0.4765597041631874,0.4385065012525349,0.006477126436781611
33,similarity_clustered,1,25,4,19.25,28.875,7560,True,200,250.6140419525316,475.4125995375216,2.037037037037037,0.5276455026455027,0.48134920634920636,0.009604957983193278
33,similarity_clustered,2,25,4,19.25,28.875,8700,True,200,221.6616847311654,475.13493055617437,1.7701149425287357,0.4555172413793103,0.4188505747126437,0.007102084277299503
33,similarity_clustered,3,25,4,19.25,28.875,8053,True,200,237.26315126799193,475.626662758179,1.9123308083943873,0.49050043462063825,0.45250217310319135,0.006842185686653773
34,similarity_clustered,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.4345734408125,1.729559748427673,0.44642857142857145,0.41565588499550765,0.010206462824461065
34,similarity_clustered,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.2856879264582,1.8294131622713234,0.4757662152530292,0.43989071038251365,0.007647020447906522
34,similarity_clustered,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,474.81757099041715,1.8370511749970178,0.47620183705117497,0.44292019563402124,0.006477126436781611
35,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.48447846046813,475.10601807560306,2.037037037037037,0.5343915343915344,0.49232804232804234,0.009604957983193278
35,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.49823645530333,474.65164775261655,1.7701149425287357,0.4617241379310345,0.4283908045977011,0.007102084277299503
35,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.95022440843647,474.6831159900874,1.9123308083943873,0.5016763938904756,0.46280889109648576,0.006842185686653773
36,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.48447846046813,474.4164955490269,2.037037037037037,0.5316137566137566,0.4875661375661376,0.009604957983193278
36,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.49823645530333,473.18359787750524,1.7701149425287357,0.45977011494252873,0.42563218390804597,0.007102084277299503
36,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.95022440843647,474.4198387510143,1.9123308083943873,0.49944120203650816,0.45982863529119583,0.006842185686653773
37,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.50531179380144,474.8611913337372,2.037037037037037,0.5337301587301587,0.4876984126984127,0.009604957983193278
37,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.43616748978607,474.70472808228806,1.7701149425287357,0.46402298850574714,0.4266666666666667,0.007102084277299503
37,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.92899008582378,474.80166653869674,1.9123308083943873,0.5021731031913572,0.45510989693282006,0.006842185686653773
38,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.48447846046813,474.7140605984023,2.037037037037037,0.5343915343915344,0.4853174603174603,0.009604957983193278
38,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.49823645530333,474.26450627390295,1.7701149425287357,0.46218390804597703,0.4205747126436782,0.007102084277299503
38,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.95022440843647,474.44859159132466,1.9123308083943873,0.5047808270209859,0.4584626847137713,0.006842185686653773
39,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.48447846046813,474.9700526482192,2.037037037037037,0.5316137566137566,0.47513227513227513,0.009604957983193278
39,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.49823645530333,473.50167472057507,1.7701149425287357,0.46160919540229883,0.41574712643678163,0.007102084277299503
39,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.95022440843647,474.0756437159143,1.9123308083943873,0.5005587979634919,0.44964609462312183,0.006842185686653773
40,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.48447846046813,475.3681292105466,2.037037037037037,0.5293650793650794,0.46746031746031746,0.009604957983193278
40,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.49823645530333,473.61414586147293,1.7701149425287357,0.46091954022988507,0.40873563218390807,0.007102084277299503
